sample_class_id,term_id,key_name,ja,en
342ba516-4d02-171c-9bc4-70a3134b47a8,3250c45d-0ed6-1438-43b5-eb679918604a,sample.specific.polymers.chemical-formula,ポリマー/化学式,polymers/Chemical formula
342ba516-4d02-171c-9bc4-70a3134b47a8,70c2c751-5404-19b7-4a5e-981e6cebbb15,sample.specific.polymers.name,ポリマー/名称,polymers/Name
342ba516-4d02-171c-9bc4-70a3134b47a8,e2d20d02-2e38-2cd3-b1b3-66fdb8a11057,sample.specific.polymers.cas-number,ポリマー/CAS番号,polymers/CAS Number
342ba516-4d02-171c-9bc4-70a3134b47a8,518e26a0-4262-86f5-3598-80e18e6ff2af,sample.specific.polymers.pubchem,ポリマー/PubChem,polymers/PubChem
342ba516-4d02-171c-9bc4-70a3134b47a8,4efc4c3b-727c-c752-cf28-701b55dba1af,sample.specific.polymers.melting-temperature,ポリマー/融点,polymers/Melting temperature
52148afb-6759-23e8-c8b8-33912ec5bfcf,70c2c751-5404-19b7-4a5e-981e6cebbb15,sample.specific.semiconductors.name,半導体/名称,semiconductors/Name
961c9637-9b83-0e9d-e60e-ffc1e2517afd,70c2c751-5404-19b7-4a5e-981e6cebbb15,sample.specific.ceramics.name,セラミックス/名称,ceramics/Name
0dde5969-3039-739b-b33b-97df40450790,70c2c751-5404-19b7-4a5e-981e6cebbb15,sample.specific.biological.name,生物学的物質/名称,biological/Name
01cb3c01-37a4-5a43-d8ca-f523ca99a75b,dc27a956-263e-f920-e574-5beec912a247,sample.specific.organic-material.molecular-weight,有機材料/分子量,organic material/molecular weight
01cb3c01-37a4-5a43-d8ca-f523ca99a75b,efc6a0d5-313e-1871-190c-baaff7d1bf6c,sample.specific.organic-material.SMILES-String,有機材料/SMILES String,organic material/SMILES String
0dde5969-3039-739b-b33b-97df40450790,0444cf53-db47-b208-7b5f-54429291a140,sample.specific.biological.sample-type,生物学的物質/試料分類,biological/Sample type
0dde5969-3039-739b-b33b-97df40450790,fc30c31d-12a3-591a-c837-4f06ab458de0,sample.specific.biological.taxonomy,生物学的物質/生物種,biological/Taxonomy
0dde5969-3039-739b-b33b-97df40450790,9a23002a-c398-e521-081a-24b6cd32dbbd,sample.specific.biological.cell-line,生物学的物質/細胞株,biological/Cell line
0dde5969-3039-739b-b33b-97df40450790,b4ce4016-e2bf-e5a1-7cae-ed496c7a776f,sample.specific.biological.protein-name,生物学的物質/タンパク名,biological/Protein name
0dde5969-3039-739b-b33b-97df40450790,8c9b1a88-1530-24d3-4b2e-5441eee5c24f,sample.specific.biological.gene-name,生物学的物質/遺伝子名,biological/Gene name
0dde5969-3039-739b-b33b-97df40450790,047e30f3-f294-e58d-cbe4-6bb588bf4cf8,sample.specific.biological.ncbi-accession-number,生物学的物質/NCBIアクセッション番号,biological/NCBI accession number
01cb3c01-37a4-5a43-d8ca-f523ca99a75b,9270879d-d94e-4d3f-2d5c-19568e040004,sample.specific.organic-material.inchi,有機材料/InChI,organic material/InChI
01cb3c01-37a4-5a43-d8ca-f523ca99a75b,3edadcff-8a85-51d9-708f-8f76bf055377,sample.specific.organic-material.inchi-key,有機材料/InChI key,organic material/InChI key
